,mean_abs_shap
75PI823.pv_lag_1,0.35252216
75PI823.pv_rmean_4,0.14923482
pressure_trend,0.0831536
pump_to_header_ratio,0.031094618
75PI823.pv_rmean_8,0.016853608
pressure_trend_4,0.01431765
75PI808.pv,0.009450759
pressure_accel,0.008734279
75PI823.pv_lag_2,0.0049131657
75TI829.pv,0.0039891214
75XI823BX.pv,0.0038406467
75PI823.pv_rstd_4,0.0025296127
75PI823.pv_lag_4,0.0020275486
75ZI800BA.pv,0.00066663587
sin_doy,0.0005423651
75PI870.pv,0.0004699279
75PDI853.pv,0.0004140823
75PI845.pv,0.0002264997
75ZI800BB.pv,0.0002061484
cos_hour,0.00018431066
75TI824.pv,0.00018067432
cos_doy,0.00015622695
75PI823.pv_rstd_8,0.00013427023
75PI823.pv_rmean_16,0.00013233449
75TI828.pv,0.00011562842
75XI821BX.pv,0.00010144232
75PI823.pv_lag_8,9.140221e-05
75TI821.pv,8.99023e-05
75ZI801BA.pv,7.872072e-05
75TI827.pv,7.752454e-05
75PI823.pv_lag_16,7.667097e-05
75PI823.pv_rstd_16,6.765233e-05
75ZI801BB.pv,5.706891e-05
75XI822BY.pv,5.5739027e-05
75TI822.pv,5.472931e-05
sin_hour,5.246827e-05
75TI830.pv,4.8573973e-05
75XI824BX.pv,4.431657e-05
75TI836.pv,4.4149172e-05
75SI865R.pv,4.201906e-05
75TI831.pv,3.3582644e-05
75TI832.pv,3.1305324e-05
75TI834.pv,2.4922574e-05
